IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
1,1,,,-121.9331143,47.5260879,2026-01-22 00:11:12.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Disconnected,,,,,,,NR (NR_SA)
2,1,,,-121.9331143,47.5260879,2026-01-22 00:11:13.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
3,1,,,-121.9331143,47.5260879,2026-01-22 00:11:14.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
4,1,,,-121.9331143,47.5260879,2026-01-22 00:11:15.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
5,1,,,-121.9331143,47.5260879,2026-01-22 00:11:16.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
6,1,,,-121.9331143,47.5260879,2026-01-22 00:11:17.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
7,1,,,-121.9331143,47.5260879,2026-01-22 00:11:18.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
8,1,,,-121.9331143,47.5260879,2026-01-22 00:11:19.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
9,1,,,-121.9331143,47.5260879,2026-01-22 00:11:20.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
10,1,,,-121.9331143,47.5260879,2026-01-22 00:11:21.000,_20260121_161108_CH02_TMO_5GNR_VoNR_MT_DUT-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
