IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9599267,40.8175133,2026-01-24 21:15:21.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-97.000000,1.000000,,,,,,,,,,,,,,,,,
2,1,,,-73.9599267,40.8175133,2026-01-24 21:15:22.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-97.000000,0.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9599267,40.8175133,2026-01-24 21:15:23.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-97.670000,0.000000,,,,,,,,,,,,,,,,,
4,1,,,-73.9599267,40.8175133,2026-01-24 21:15:24.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9599267,40.8175133,2026-01-24 21:15:25.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-97.000000,1.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9599267,40.8175133,2026-01-24 21:15:26.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-97.000000,2.000000,,,,,,,,,,,,,,,,,
7,1,,,-73.9599267,40.8175133,2026-01-24 21:15:27.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9599267,40.8175133,2026-01-24 21:15:29.000,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9599267,40.8175133,2026-01-24 21:15:30.120,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
10,1,,,-73.9599267,40.8175133,2026-01-24 21:15:30.120,_20260124_161518_CH01_REF_TMO-AUTO_UDP UPLINK 20MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
